profile,tag,artifact_key,artifact_group,expected_path,purpose,validated_by,target_chip,target_compute_capability,expected_power_semantics,expected_active_sm,expected_sm_count,cuda_arch,build_dir,binary,final_numerator_policy
a100,20260715,command_shell,generated runnable command package,results/summary/a100_component_finalplan_20260715_commands.sh,documents the exact finalplan commands used on the target node,platform_command_package,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,command_plan,generated command plan markdown,results/summary/a100_component_finalplan_20260715_command_plan.md,"records target profile, coordinates, power semantics, NCU and audit gates",platform_command_package,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,preflight,node preflight report,results/summary/a100_component_finalplan_20260715_preflight.md,"proves GPU/profile, NVML, power scope, NCU availability, and binary dry-run",preflight,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,raw,raw energy CSVs,results/raw/a100_component_finalplan_20260715_tensor.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,raw,raw energy CSVs,results/raw/a100_component_finalplan_20260715_shared.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,raw,raw energy CSVs,results/raw/a100_component_finalplan_20260715_l1.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,raw,raw energy CSVs,results/raw/a100_component_finalplan_20260715_l2.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,raw,raw energy CSVs,results/raw/a100_component_finalplan_20260715_dram.csv,"contains explicit total-energy rows, profile metadata, active SM, W_SM, blocks/SM",raw_energy_profile_and_power,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,tensor_pair_calibration,Tensor pair calibration manifest,results/raw/a100_component_finalplan_20260715_tensor_pair_calibration.csv,proves reg_mma-calibrated ITER was applied identically to treatment and control,tensor_pair_calibration_policy,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,l2_pair_calibration,L2 pair calibration manifest,results/raw/a100_component_finalplan_20260715_l2_pair_calibration.csv,proves L2 treatment and address control used identical resolved ITER,l2_pair_calibration_policy,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
a100,20260715,dram_pair_calibration,DRAM pair calibration manifest,results/raw/a100_component_finalplan_20260715_dram_pair_calibration.csv,proves DRAM treatment and address control used identical resolved ITER,dram_pair_calibration_policy,ga100,8.0,instant,108,,80,build-a100,./build-a100/a100_fp16_energy_v2,nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter
